Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
199202130129 308 1.821265e+19   6.8402 -15.9300 166.3000   5.2929   6.2741   3.5494  35.3362   3.1945   6.2828   6.2828  40.1404  29.5412   1.6399 7.625506e+13   0.1480
199203021229 311 2.509727e+19   6.9331  52.8800 160.0000  35.5879   7.3983   4.1747  54.3183   3.7572   2.7273   2.7273  20.4941  18.8709  11.6664 5.437495e+14   1.1768
199204251806 319 7.804456e+19   7.2616  40.3700 -124.3200  12.6768   6.3519   3.6760  37.8644   3.3084   3.8614   3.8614  25.5498  21.8591  21.1363 5.203283e+15   2.5244
199205150705 320 8.193210e+19   7.2756  -6.0600 147.5900  38.9515   7.0403   4.0036  47.5361   3.6032  15.5156   1.7969 111.8132  58.4838   0.6687 1.139534e+15   0.6611
199205170949 322 5.389160e+19   7.1543   7.2600 126.7500  28.7273   7.1788   3.9512  47.8628   3.5561   6.7352   0.9610  47.9023  33.2362   3.2701 6.851895e+15   6.0854
199207100931 340 7.579854e+18   6.5864  44.6700 149.5000  19.4929   7.1591   4.0767  50.9681   3.6690   8.8953   0.4472  65.2735  40.8505   0.2103 5.514035e+13   0.3708
199207121108 341 2.252952e+18   6.2352  41.4400 142.0500  50.1162   7.4434   4.1254  53.1858   3.7128   1.1839   1.1839   8.7914   8.7914  11.6051 9.042883e+13   2.1348
199207131534 342 1.631911e+18   6.1418  51.1600 157.6700  43.4566   7.3122   4.1171  51.6772   3.7054   1.5636   1.4586  11.5875  11.5875   3.6711 2.394753e+13   0.7583
199208111514 356 2.999717e+18   6.3181  32.5400 141.7000   9.6667   6.7089   3.8219  42.6464   3.4397   8.8953   0.9610  61.1938  39.1302   0.0973 4.021951e+12   0.0572
199208190204 359 7.790712e+19   7.2611  42.0800  73.5600  18.3636   5.5843   3.1947  27.0441   2.8753   8.2977   0.8362  47.7160  33.1499   4.6116 1.174199e+16   4.0760
199209281406 364 1.844456e+18   6.1772  24.1100 122.6300  33.9081   7.2575   4.1130  52.1292   3.7017   2.3732   0.8964  17.5697  17.0301   1.2517 2.285339e+13   0.6459
199210170832 368 9.701625e+18   6.6579   6.8700 -76.8200  21.3636   6.4799   3.7099  38.1158   3.3389   4.1395   0.8362  27.6429  23.0372   2.1674 2.823431e+14   1.1093
199210222308 371 5.209952e+18   6.4779 -29.7400 -177.2200  16.8687   7.1524   4.0731  50.8373   3.6658   3.6020   3.3600  26.4080  22.3459   1.3015 2.851352e+13   0.2782
199212120529 386 5.031758e+20   7.8011  -8.5100 121.8900  41.8545   7.3070   4.1257  52.0571   3.7131   3.3600   3.3600  24.9524  21.5170 144.3917 2.173260e+17  22.4839
199302071327 395 3.476735e+18   6.3608  37.6100 137.2600  12.0303   6.4402   3.7201  39.0636   3.3481   1.6762   0.8362  11.2241  11.2241   8.6056 1.971166e+14   2.2147
199304192101 407 1.707945e+19   6.8216   4.0100 128.1900  56.7848   7.9576   4.4322  64.6757   3.9890   2.3732   0.8362  18.9332  17.9001   9.6446 9.597136e+14   3.6342
199305162144 414 9.246863e+18   6.6440 -15.3400 -173.3500  22.3455   7.2638   4.1211  52.4957   3.7090   4.7571   2.5441  35.2887  27.1100   1.1389 4.826148e+13   0.2740
199305252316 418 1.491757e+18   6.1158  55.0300 -160.4800  40.7687   7.4176   4.1928  54.5418   3.7735   2.0651   0.0684  15.5851  15.5851   1.3792 2.086886e+14   7.6301
199306061323 421 5.723351e+18   6.5051  15.6800 146.5800  17.5354   7.2369   4.1113  52.2357   3.7001   2.7273   2.7273  20.1829  18.6794   2.7623 2.940049e+13   0.2683
