Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
173.5026 -42.4203 176.905944 60.000000 90.000000 0.248640 1.891744 2.777778 5.555556	   1.6000000e+01
173.4831 -42.4205 176.905944 60.000000 90.000000 0.339732 1.891744 5.555556 8.333333	   1.6000000e+01
173.4636 -42.4207 176.905944 60.000000 90.000000 0.385671 1.891744 8.333333 11.111111	   1.6000000e+01
173.4441 -42.4209 176.905944 60.000000 90.000000 0.265901 1.891744 11.111111 13.888889	   1.6000000e+01
173.4247 -42.4210 176.905944 60.000000 90.000000 0.089387 1.891744 13.888889 16.666667	   1.6000000e+01
173.4052 -42.4212 176.905944 60.000000 180.000000 0.000000 1.891744 16.666667 19.444444	   1.6000000e+01
173.3857 -42.4214 176.905944 60.000000 180.000000 0.000000 1.891744 19.444444 22.222222	   1.6000000e+01
173.3663 -42.4215 176.905944 60.000000 180.000000 0.000000 1.891744 22.222222 25.000000	   1.6000000e+01
173.5223 -42.4371 176.905944 60.000000 90.000000 0.165304 1.891744 0.000000 2.777778	   1.6000000e+01
173.5029 -42.4373 176.905944 60.000000 90.000000 0.173696 1.891744 2.777778 5.555556	   1.6000000e+01
173.4834 -42.4375 176.905944 60.000000 90.000000 0.285100 1.891744 5.555556 8.333333	   1.6000000e+01
173.4639 -42.4377 176.905944 60.000000 90.000000 0.337254 1.891744 8.333333 11.111111	   1.6000000e+01
173.4444 -42.4379 176.905944 60.000000 90.000000 0.237806 1.891744 11.111111 13.888889	   1.6000000e+01
173.4249 -42.4380 176.905944 60.000000 90.000000 0.082274 1.891744 13.888889 16.666667	   1.6000000e+01
173.4055 -42.4382 176.905944 60.000000 180.000000 0.000000 1.891744 16.666667 19.444444	   1.6000000e+01
173.3860 -42.4384 176.905944 60.000000 180.000000 0.000000 1.891744 19.444444 22.222222	   1.6000000e+01
173.3665 -42.4385 176.905944 60.000000 180.000000 0.000000 1.891744 22.222222 25.000000	   1.6000000e+01
173.5226 -42.4542 176.905944 60.000000 90.000000 0.050719 1.891744 0.000000 2.777778	   1.6000000e+01
173.5032 -42.4544 176.905944 60.000000 90.000000 0.092335 1.891744 2.777778 5.555556	   1.6000000e+01
173.4837 -42.4545 176.905944 60.000000 90.000000 0.191487 1.891744 5.555556 8.333333	   1.6000000e+01
173.4642 -42.4547 176.905944 60.000000 90.000000 0.239737 1.891744 8.333333 11.111111	   1.6000000e+01
173.4447 -42.4549 176.905944 60.000000 90.000000 0.172095 1.891744 11.111111 13.888889	   1.6000000e+01
173.4252 -42.4551 176.905944 60.000000 90.000000 0.058991 1.891744 13.888889 16.666667	   1.6000000e+01
173.4057 -42.4552 176.905944 60.000000 180.000000 0.000000 1.891744 16.666667 19.444444	   1.6000000e+01
173.3863 -42.4554 176.905944 60.000000 180.000000 0.000000 1.891744 19.444444 22.222222	   1.6000000e+01
173.3668 -42.4556 176.905944 60.000000 180.000000 0.000000 1.891744 22.222222 25.000000	   1.6000000e+01
173.5229 -42.4712 176.905944 60.000000 180.000000 0.000000 1.891744 0.000000 2.777778	   1.6000000e+01
173.5034 -42.4714 176.905944 60.000000 90.000000 0.031274 1.891744 2.777778 5.555556	   1.6000000e+01
173.4840 -42.4716 176.905944 60.000000 90.000000 0.090574 1.891744 5.555556 8.333333	   1.6000000e+01
173.4645 -42.4717 176.905944 60.000000 90.000000 0.120830 1.891744 8.333333 11.111111	   1.6000000e+01
173.4450 -42.4719 176.905944 60.000000 90.000000 0.087698 1.891744 11.111111 13.888889	   1.6000000e+01
173.4255 -42.4721 176.905944 60.000000 90.000000 0.028870 1.891744 13.888889 16.666667	   1.6000000e+01
173.4060 -42.4722 176.905944 60.000000 180.000000 0.000000 1.891744 16.666667 19.444444	   1.6000000e+01
173.3865 -42.4724 176.905944 60.000000 180.000000 0.000000 1.891744 19.444444 22.222222	   1.6000000e+01
173.3670 -42.4726 176.905944 60.000000 180.000000 0.000000 1.891744 22.222222 25.000000	   1.6000000e+01
174.1875 -41.7916 22.318500 80.000000 180.000000 0.000000 1.747861 0.000000 3.125000	   1.7000000e+01
174.1935 -41.7936 22.318500 80.000000 180.000000 0.000000 1.747861 3.125000 6.250000	   1.7000000e+01
174.1996 -41.7956 22.318500 80.000000 90.000000 0.016010 1.747861 6.250000 9.375000	   1.7000000e+01
174.2056 -41.7977 22.318500 80.000000 90.000000 0.012548 1.747861 9.375000 12.500000	   1.7000000e+01
174.2117 -41.7997 22.318500 80.000000 90.000000 0.000091 1.747861 12.500000 15.625000	   1.7000000e+01
174.2177 -41.8017 22.318500 80.000000 180.000000 0.000000 1.747861 15.625000 18.750000	   1.7000000e+01
174.2238 -41.8038 22.318500 80.000000 180.000000 0.000000 1.747861 18.750000 21.875000	   1.7000000e+01
174.2298 -41.8058 22.318500 80.000000 180.000000 0.000000 1.747861 21.875000 25.000000	   1.7000000e+01
174.1961 -41.7772 22.318500 80.000000 180.000000 0.000000 1.747861 0.000000 3.125000	   1.7000000e+01
174.2022 -41.7793 22.318500 80.000000 90.000000 0.121432 1.747861 3.125000 6.250000	   1.7000000e+01
174.2082 -41.7813 22.318500 80.000000 90.000000 0.165852 1.747861 6.250000 9.375000	   1.7000000e+01
174.2143 -41.7833 22.318500 80.000000 90.000000 0.106387 1.747861 9.375000 12.500000	   1.7000000e+01
174.2203 -41.7854 22.318500 80.000000 90.000000 0.029916 1.747861 12.500000 15.625000	   1.7000000e+01
174.2263 -41.7874 22.318500 80.000000 180.000000 0.000000 1.747861 15.625000 18.750000	   1.7000000e+01
174.2324 -41.7894 22.318500 80.000000 180.000000 0.000000 1.747861 18.750000 21.875000	   1.7000000e+01
174.2384 -41.7914 22.318500 80.000000 180.000000 0.000000 1.747861 21.875000 25.000000	   1.7000000e+01
174.2047 -41.7629 22.318500 80.000000 176.989345 0.262692 1.747861 0.000000 3.125000	   1.7000000e+01
174.2108 -41.7649 22.318500 80.000000 105.239124 0.296586 1.747861 3.125000 6.250000	   1.7000000e+01
174.2168 -41.7669 22.318500 80.000000 90.303592 0.326498 1.747861 6.250000 9.375000	   1.7000000e+01
174.2229 -41.7690 22.318500 80.000000 90.000000 0.200989 1.747861 9.375000 12.500000	   1.7000000e+01
174.2289 -41.7710 22.318500 80.000000 90.000000 0.061627 1.747861 12.500000 15.625000	   1.7000000e+01
174.2349 -41.7730 22.318500 80.000000 180.000000 0.000000 1.747861 15.625000 18.750000	   1.7000000e+01
174.2410 -41.7751 22.318500 80.000000 180.000000 0.000000 1.747861 18.750000 21.875000	   1.7000000e+01
174.2470 -41.7771 22.318500 80.000000 180.000000 0.000000 1.747861 21.875000 25.000000	   1.7000000e+01
174.2133 -41.7485 22.318500 80.000000 178.488641 1.043710 1.747861 0.000000 3.125000	   1.7000000e+01
174.2194 -41.7506 22.318500 80.000000 135.820092 0.601836 1.747861 3.125000 6.250000	   1.7000000e+01
174.2254 -41.7526 22.318500 80.000000 105.411452 0.468081 1.747861 6.250000 9.375000	   1.7000000e+01
174.2315 -41.7546 22.318500 80.000000 92.572242 0.276298 1.747861 9.375000 12.500000	   1.7000000e+01
174.2375 -41.7567 22.318500 80.000000 90.000000 0.088800 1.747861 12.500000 15.625000	   1.7000000e+01
174.2435 -41.7587 22.318500 80.000000 180.000000 0.000000 1.747861 15.625000 18.750000	   1.7000000e+01
174.2496 -41.7607 22.318500 80.000000 180.000000 0.000000 1.747861 18.750000 21.875000	   1.7000000e+01
174.2556 -41.7627 22.318500 80.000000 180.000000 0.000000 1.747861 21.875000 25.000000	   1.7000000e+01
174.2219 -41.7342 22.318500 80.000000 180.000000 1.959777 1.747861 0.000000 3.125000	   1.7000000e+01
174.2280 -41.7362 22.318500 80.000000 152.068853 0.980675 1.747861 3.125000 6.250000	   1.7000000e+01
174.2340 -41.7382 22.318500 80.000000 121.748634 0.597616 1.747861 6.250000 9.375000	   1.7000000e+01
174.2401 -41.7403 22.318500 80.000000 100.650402 0.323273 1.747861 9.375000 12.500000	   1.7000000e+01
174.2461 -41.7423 22.318500 80.000000 90.000000 0.106390 1.747861 12.500000 15.625000	   1.7000000e+01
174.2521 -41.7443 22.318500 80.000000 180.000000 0.000000 1.747861 15.625000 18.750000	   1.7000000e+01
174.2582 -41.7464 22.318500 80.000000 180.000000 0.000000 1.747861 18.750000 21.875000	   1.7000000e+01
174.2642 -41.7484 22.318500 80.000000 180.000000 0.000000 1.747861 21.875000 25.000000	   1.7000000e+01
174.1451 -41.9050 13.134700 80.000000 180.000000 2.196550 1.886824 0.000000 3.125000	   1.8000000e+01
174.1515 -41.9063 13.134700 80.000000 157.804852 1.198484 1.886824 3.125000 6.250000	   1.8000000e+01
174.1579 -41.9076 13.134700 80.000000 133.169045 0.705696 1.886824 6.250000 9.375000	   1.8000000e+01
174.1643 -41.9089 13.134700 80.000000 110.863399 0.351605 1.886824 9.375000 12.500000	   1.8000000e+01
174.1707 -41.9101 13.134700 80.000000 90.000000 0.113776 1.886824 12.500000 15.625000	   1.8000000e+01
174.1772 -41.9114 13.134700 80.000000 90.000000 0.001357 1.886824 15.625000 18.750000	   1.8000000e+01
174.1836 -41.9127 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.1900 -41.9140 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1510 -41.8886 13.134700 80.000000 179.559623 2.044378 1.886824 0.000000 3.125000	   1.8000000e+01
174.1574 -41.8899 13.134700 80.000000 159.179165 1.327473 1.886824 3.125000 6.250000	   1.8000000e+01
174.1638 -41.8912 13.134700 80.000000 141.993962 0.810406 1.886824 6.250000 9.375000	   1.8000000e+01
174.1702 -41.8925 13.134700 80.000000 123.562709 0.372201 1.886824 9.375000 12.500000	   1.8000000e+01
174.1766 -41.8937 13.134700 80.000000 93.382324 0.106257 1.886824 12.500000 15.625000	   1.8000000e+01
174.1830 -41.8950 13.134700 80.000000 90.000000 0.001178 1.886824 15.625000 18.750000	   1.8000000e+01
174.1895 -41.8963 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.1959 -41.8976 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1569 -41.8722 13.134700 80.000000 172.313239 1.858621 1.886824 0.000000 3.125000	   1.8000000e+01
174.1633 -41.8735 13.134700 80.000000 158.139462 1.468481 1.886824 3.125000 6.250000	   1.8000000e+01
174.1697 -41.8748 13.134700 80.000000 149.383756 0.919643 1.886824 6.250000 9.375000	   1.8000000e+01
174.1761 -41.8761 13.134700 80.000000 137.535826 0.394690 1.886824 9.375000 12.500000	   1.8000000e+01
174.1825 -41.8773 13.134700 80.000000 106.212115 0.088404 1.886824 12.500000 15.625000	   1.8000000e+01
174.1889 -41.8786 13.134700 80.000000 180.000000 0.000000 1.886824 15.625000 18.750000	   1.8000000e+01
174.1953 -41.8799 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.2018 -41.8812 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1628 -41.8558 13.134700 80.000000 155.024871 2.157668 1.886824 0.000000 3.125000	   1.8000000e+01
174.1692 -41.8571 13.134700 80.000000 157.678395 1.673630 1.886824 3.125000 6.250000	   1.8000000e+01
174.1756 -41.8584 13.134700 80.000000 156.298195 1.009171 1.886824 6.250000 9.375000	   1.8000000e+01
174.1820 -41.8597 13.134700 80.000000 150.663908 0.409482 1.886824 9.375000 12.500000	   1.8000000e+01
174.1884 -41.8609 13.134700 80.000000 127.976788 0.070340 1.886824 12.500000 15.625000	   1.8000000e+01
174.1948 -41.8622 13.134700 80.000000 180.000000 0.000000 1.886824 15.625000 18.750000	   1.8000000e+01
174.2012 -41.8635 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.2076 -41.8648 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1687 -41.8394 13.134700 80.000000 156.365157 2.753654 1.886824 0.000000 3.125000	   1.8000000e+01
174.1751 -41.8407 13.134700 80.000000 161.519659 1.799389 1.886824 3.125000 6.250000	   1.8000000e+01
174.1815 -41.8420 13.134700 80.000000 163.303446 1.005816 1.886824 6.250000 9.375000	   1.8000000e+01
174.1879 -41.8432 13.134700 80.000000 161.765722 0.386893 1.886824 9.375000 12.500000	   1.8000000e+01
174.1943 -41.8445 13.134700 80.000000 152.291115 0.054708 1.886824 12.500000 15.625000	   1.8000000e+01
174.2007 -41.8458 13.134700 80.000000 180.000000 0.000000 1.886824 15.625000 18.750000	   1.8000000e+01
174.2071 -41.8471 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.2135 -41.8484 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1746 -41.8230 13.134700 80.000000 161.826791 2.806538 1.886824 0.000000 3.125000	   1.8000000e+01
174.1810 -41.8243 13.134700 80.000000 166.935030 1.597296 1.886824 3.125000 6.250000	   1.8000000e+01
174.1874 -41.8256 13.134700 80.000000 169.791868 0.828469 1.886824 6.250000 9.375000	   1.8000000e+01
174.1938 -41.8268 13.134700 80.000000 170.559629 0.301662 1.886824 9.375000 12.500000	   1.8000000e+01
174.2002 -41.8281 13.134700 80.000000 172.001610 0.035804 1.886824 12.500000 15.625000	   1.8000000e+01
174.2066 -41.8294 13.134700 80.000000 180.000000 0.000000 1.886824 15.625000 18.750000	   1.8000000e+01
174.2130 -41.8307 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.2194 -41.8320 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
174.1804 -41.8066 13.134700 80.000000 167.736401 1.859172 1.886824 0.000000 3.125000	   1.8000000e+01
174.1868 -41.8079 13.134700 80.000000 172.055860 0.950577 1.886824 3.125000 6.250000	   1.8000000e+01
174.1932 -41.8092 13.134700 80.000000 174.973211 0.464087 1.886824 6.250000 9.375000	   1.8000000e+01
174.1996 -41.8104 13.134700 80.000000 176.761304 0.160189 1.886824 9.375000 12.500000	   1.8000000e+01
174.2060 -41.8117 13.134700 80.000000 180.000000 0.014128 1.886824 12.500000 15.625000	   1.8000000e+01
174.2125 -41.8130 13.134700 80.000000 180.000000 0.000000 1.886824 15.625000 18.750000	   1.8000000e+01
174.2189 -41.8143 13.134700 80.000000 180.000000 0.000000 1.886824 18.750000 21.875000	   1.8000000e+01
174.2253 -41.8156 13.134700 80.000000 180.000000 0.000000 1.886824 21.875000 25.000000	   1.8000000e+01
173.8161 -42.1024 255.256436 70.000000 179.824393 0.851245 1.950894 0.000000 2.777778	   1.9000000e+01
173.8134 -42.0935 255.256436 70.000000 179.728178 0.737115 1.950894 2.777778 5.555556	   1.9000000e+01
173.8107 -42.0846 255.256436 70.000000 179.731086 0.758083 1.950894 5.555556 8.333333	   1.9000000e+01
173.8081 -42.0758 255.256436 70.000000 179.587734 0.747845 1.950894 8.333333 11.111111	   1.9000000e+01
173.8054 -42.0669 255.256436 70.000000 179.400495 0.683542 1.950894 11.111111 13.888889	   1.9000000e+01
173.8027 -42.0580 255.256436 70.000000 179.292418 0.571125 1.950894 13.888889 16.666667	   1.9000000e+01
173.8001 -42.0491 255.256436 70.000000 179.303527 0.427463 1.950894 16.666667 19.444444	   1.9000000e+01
173.7974 -42.0402 255.256436 70.000000 179.450582 0.273230 1.950894 19.444444 22.222222	   1.9000000e+01
173.7948 -42.0314 255.256436 70.000000 179.743171 0.127161 1.950894 22.222222 25.000000	   1.9000000e+01
173.7931 -42.1062 255.256436 70.000000 180.000000 2.313197 1.950894 0.000000 2.777778	   1.9000000e+01
173.7904 -42.0973 255.256436 70.000000 180.000000 2.143718 1.950894 2.777778 5.555556	   1.9000000e+01
173.7877 -42.0885 255.256436 70.000000 180.000000 2.262293 1.950894 5.555556 8.333333	   1.9000000e+01
173.7851 -42.0796 255.256436 70.000000 179.929151 2.299135 1.950894 8.333333 11.111111	   1.9000000e+01
173.7824 -42.0707 255.256436 70.000000 179.818290 2.158020 1.950894 11.111111 13.888889	   1.9000000e+01
173.7797 -42.0618 255.256436 70.000000 179.754851 1.843805 1.950894 13.888889 16.666667	   1.9000000e+01
173.7771 -42.0529 255.256436 70.000000 179.765780 1.408547 1.950894 16.666667 19.444444	   1.9000000e+01
173.7744 -42.0441 255.256436 70.000000 179.853642 0.920756 1.950894 19.444444 22.222222	   1.9000000e+01
173.7718 -42.0352 255.256436 70.000000 179.982988 0.441200 1.950894 22.222222 25.000000	   1.9000000e+01
173.7700 -42.1100 255.256436 70.000000 180.000000 3.121229 1.950894 0.000000 2.777778	   1.9000000e+01
173.7674 -42.1012 255.256436 70.000000 180.000000 3.071409 1.950894 2.777778 5.555556	   1.9000000e+01
173.7647 -42.0923 255.256436 70.000000 180.000000 3.350898 1.950894 5.555556 8.333333	   1.9000000e+01
173.7621 -42.0834 255.256436 70.000000 180.000000 3.485658 1.950894 8.333333 11.111111	   1.9000000e+01
173.7594 -42.0745 255.256436 70.000000 179.954223 3.326819 1.950894 11.111111 13.888889	   1.9000000e+01
173.7568 -42.0656 255.256436 70.000000 179.925423 2.877205 1.950894 13.888889 16.666667	   1.9000000e+01
173.7541 -42.0568 255.256436 70.000000 179.932711 2.218968 1.950894 16.666667 19.444444	   1.9000000e+01
173.7514 -42.0479 255.256436 70.000000 179.974857 1.462963 1.950894 19.444444 22.222222	   1.9000000e+01
173.7488 -42.0390 255.256436 70.000000 180.000000 0.707329 1.950894 22.222222 25.000000	   1.9000000e+01
173.7470 -42.1139 255.256436 70.000000 180.000000 3.204910 1.950894 0.000000 2.777778	   1.9000000e+01
173.7444 -42.1050 255.256436 70.000000 180.000000 3.480022 1.950894 2.777778 5.555556	   1.9000000e+01
173.7417 -42.0961 255.256436 70.000000 180.000000 3.962680 1.950894 5.555556 8.333333	   1.9000000e+01
173.7391 -42.0872 255.256436 70.000000 180.000000 4.228367 1.950894 8.333333 11.111111	   1.9000000e+01
173.7364 -42.0783 255.256436 70.000000 180.000000 4.104754 1.950894 11.111111 13.888889	   1.9000000e+01
173.7338 -42.0695 255.256436 70.000000 180.000000 3.591596 1.950894 13.888889 16.666667	   1.9000000e+01
173.7311 -42.0606 255.256436 70.000000 180.000000 2.793003 1.950894 16.666667 19.444444	   1.9000000e+01
173.7285 -42.0517 255.256436 70.000000 180.000000 1.853272 1.950894 19.444444 22.222222	   1.9000000e+01
173.7258 -42.0428 255.256436 70.000000 180.000000 0.901027 1.950894 22.222222 25.000000	   1.9000000e+01
173.7240 -42.1177 255.256436 70.000000 180.000000 2.824058 1.950894 0.000000 2.777778	   1.9000000e+01
173.7214 -42.1088 255.256436 70.000000 180.000000 3.475102 1.950894 2.777778 5.555556	   1.9000000e+01
173.7187 -42.0999 255.256436 70.000000 180.000000 4.150118 1.950894 5.555556 8.333333	   1.9000000e+01
173.7161 -42.0910 255.256436 70.000000 180.000000 4.546239 1.950894 8.333333 11.111111	   1.9000000e+01
173.7134 -42.0822 255.256436 70.000000 180.000000 4.487478 1.950894 11.111111 13.888889	   1.9000000e+01
173.7108 -42.0733 255.256436 70.000000 180.000000 3.969322 1.950894 13.888889 16.666667	   1.9000000e+01
173.7081 -42.0644 255.256436 70.000000 180.000000 3.108493 1.950894 16.666667 19.444444	   1.9000000e+01
173.7055 -42.0555 255.256436 70.000000 180.000000 2.071891 1.950894 19.444444 22.222222	   1.9000000e+01
173.7028 -42.0466 255.256436 70.000000 180.000000 1.010263 1.950894 22.222222 25.000000	   1.9000000e+01
173.7010 -42.1215 255.256436 70.000000 180.000000 2.389684 1.950894 0.000000 2.777778	   1.9000000e+01
173.6984 -42.1126 255.256436 70.000000 180.000000 3.206690 1.950894 2.777778 5.555556	   1.9000000e+01
173.6957 -42.1037 255.256436 70.000000 180.000000 4.011488 1.950894 5.555556 8.333333	   1.9000000e+01
173.6931 -42.0948 255.256436 70.000000 180.000000 4.509870 1.950894 8.333333 11.111111	   1.9000000e+01
173.6904 -42.0860 255.256436 70.000000 180.000000 4.521347 1.950894 11.111111 13.888889	   1.9000000e+01
173.6878 -42.0771 255.256436 70.000000 180.000000 4.036909 1.950894 13.888889 16.666667	   1.9000000e+01
173.6851 -42.0682 255.256436 70.000000 180.000000 3.177764 1.950894 16.666667 19.444444	   1.9000000e+01
173.6825 -42.0593 255.256436 70.000000 180.000000 2.122519 1.950894 19.444444 22.222222	   1.9000000e+01
173.6798 -42.0504 255.256436 70.000000 180.000000 1.035068 1.950894 22.222222 25.000000	   1.9000000e+01
173.6780 -42.1253 255.256436 70.000000 180.000000 1.843019 1.950894 0.000000 2.777778	   1.9000000e+01
173.6753 -42.1164 255.256436 70.000000 180.000000 2.766400 1.950894 2.777778 5.555556	   1.9000000e+01
173.6727 -42.1075 255.256436 70.000000 180.000000 3.646764 1.950894 5.555556 8.333333	   1.9000000e+01
173.6700 -42.0987 255.256436 70.000000 180.000000 4.208063 1.950894 8.333333 11.111111	   1.9000000e+01
173.6674 -42.0898 255.256436 70.000000 180.000000 4.277950 1.950894 11.111111 13.888889	   1.9000000e+01
173.6648 -42.0809 255.256436 70.000000 180.000000 3.847334 1.950894 13.888889 16.666667	   1.9000000e+01
173.6621 -42.0720 255.256436 70.000000 180.000000 3.036550 1.950894 16.666667 19.444444	   1.9000000e+01
173.6595 -42.0631 255.256436 70.000000 180.000000 2.026332 1.950894 19.444444 22.222222	   1.9000000e+01
173.6568 -42.0542 255.256436 70.000000 180.000000 0.984970 1.950894 22.222222 25.000000	   1.9000000e+01
173.6550 -42.1291 255.256436 70.000000 180.000000 1.202551 1.950894 0.000000 2.777778	   1.9000000e+01
173.6523 -42.1202 255.256436 70.000000 180.000000 2.234693 1.950894 2.777778 5.555556	   1.9000000e+01
173.6497 -42.1113 255.256436 70.000000 180.000000 3.147290 1.950894 5.555556 8.333333	   1.9000000e+01
173.6470 -42.1025 255.256436 70.000000 180.000000 3.728904 1.950894 8.333333 11.111111	   1.9000000e+01
173.6444 -42.0936 255.256436 70.000000 180.000000 3.835642 1.950894 11.111111 13.888889	   1.9000000e+01
173.6417 -42.0847 255.256436 70.000000 180.000000 3.465018 1.950894 13.888889 16.666667	   1.9000000e+01
173.6391 -42.0758 255.256436 70.000000 180.000000 2.733293 1.950894 16.666667 19.444444	   1.9000000e+01
173.6365 -42.0669 255.256436 70.000000 180.000000 1.815325 1.950894 19.444444 22.222222	   1.9000000e+01
173.6338 -42.0580 255.256436 70.000000 180.000000 0.875803 1.950894 22.222222 25.000000	   1.9000000e+01
173.6319 -42.1329 255.256436 70.000000 180.000000 0.589396 1.950894 0.000000 2.777778	   1.9000000e+01
173.6293 -42.1240 255.256436 70.000000 179.987866 1.699921 1.950894 2.777778 5.555556	   1.9000000e+01
173.6267 -42.1151 255.256436 70.000000 180.000000 2.591915 1.950894 5.555556 8.333333	   1.9000000e+01
173.6240 -42.1062 255.256436 70.000000 180.000000 3.148787 1.950894 8.333333 11.111111	   1.9000000e+01
173.6214 -42.0974 255.256436 70.000000 180.000000 3.266999 1.950894 11.111111 13.888889	   1.9000000e+01
173.6187 -42.0885 255.256436 70.000000 180.000000 2.954382 1.950894 13.888889 16.666667	   1.9000000e+01
173.6161 -42.0796 255.256436 70.000000 180.000000 2.320140 1.950894 16.666667 19.444444	   1.9000000e+01
173.6135 -42.0707 255.256436 70.000000 180.000000 1.526272 1.950894 19.444444 22.222222	   1.9000000e+01
173.6108 -42.0618 255.256436 70.000000 180.000000 0.726683 1.950894 22.222222 25.000000	   1.9000000e+01
173.6089 -42.1367 255.256436 70.000000 180.000000 0.159111 1.950894 0.000000 2.777778	   1.9000000e+01
173.6063 -42.1278 255.256436 70.000000 180.000000 1.230538 1.950894 2.777778 5.555556	   1.9000000e+01
173.6036 -42.1189 255.256436 70.000000 180.000000 2.035579 1.950894 5.555556 8.333333	   1.9000000e+01
173.6010 -42.1100 255.256436 70.000000 180.000000 2.524415 1.950894 8.333333 11.111111	   1.9000000e+01
173.5984 -42.1012 255.256436 70.000000 180.000000 2.630782 1.950894 11.111111 13.888889	   1.9000000e+01
173.5957 -42.0923 255.256436 70.000000 180.000000 2.372002 1.950894 13.888889 16.666667	   1.9000000e+01
173.5931 -42.0834 255.256436 70.000000 180.000000 1.846242 1.950894 16.666667 19.444444	   1.9000000e+01
173.5905 -42.0745 255.256436 70.000000 180.000000 1.195928 1.950894 19.444444 22.222222	   1.9000000e+01
173.5878 -42.0656 255.256436 70.000000 180.000000 0.557564 1.950894 22.222222 25.000000	   1.9000000e+01
173.5859 -42.1405 255.256436 70.000000 180.000000 0.000000 1.950894 0.000000 2.777778	   1.9000000e+01
173.5832 -42.1316 255.256436 70.000000 180.000000 0.855128 1.950894 2.777778 5.555556	   1.9000000e+01
173.5806 -42.1227 255.256436 70.000000 180.000000 1.504843 1.950894 5.555556 8.333333	   1.9000000e+01
173.5780 -42.1138 255.256436 70.000000 180.000000 1.889925 1.950894 8.333333 11.111111	   1.9000000e+01
173.5753 -42.1049 255.256436 70.000000 180.000000 1.968328 1.950894 11.111111 13.888889	   1.9000000e+01
173.5727 -42.0961 255.256436 70.000000 180.000000 1.762202 1.950894 13.888889 16.666667	   1.9000000e+01
173.5701 -42.0872 255.256436 70.000000 180.000000 1.353276 1.950894 16.666667 19.444444	   1.9000000e+01
173.5674 -42.0783 255.256436 70.000000 180.000000 0.857481 1.950894 19.444444 22.222222	   1.9000000e+01
173.5648 -42.0694 255.256436 70.000000 180.000000 0.387371 1.950894 22.222222 25.000000	   1.9000000e+01
173.5628 -42.1443 255.256436 70.000000 180.000000 0.000000 1.950894 0.000000 2.777778	   1.9000000e+01
173.5602 -42.1354 255.256436 70.000000 180.000000 0.554515 1.950894 2.777778 5.555556	   1.9000000e+01
173.5576 -42.1265 255.256436 70.000000 180.000000 1.000481 1.950894 5.555556 8.333333	   1.9000000e+01
173.5550 -42.1176 255.256436 70.000000 180.000000 1.258988 1.950894 8.333333 11.111111	   1.9000000e+01
173.5523 -42.1087 255.256436 70.000000 180.000000 1.303893 1.950894 11.111111 13.888889	   1.9000000e+01
173.5497 -42.0998 255.256436 70.000000 180.000000 1.155406 1.950894 13.888889 16.666667	   1.9000000e+01
173.5471 -42.0910 255.256436 70.000000 180.000000 0.872483 1.950894 16.666667 19.444444	   1.9000000e+01
173.5444 -42.0821 255.256436 70.000000 180.000000 0.537548 1.950894 19.444444 22.222222	   1.9000000e+01
173.5418 -42.0732 255.256436 70.000000 180.000000 0.232306 1.950894 22.222222 25.000000	   1.9000000e+01
173.5398 -42.1480 255.256436 70.000000 180.000000 0.000000 1.950894 0.000000 2.777778	   1.9000000e+01
173.5372 -42.1391 255.256436 70.000000 180.000000 0.279169 1.950894 2.777778 5.555556	   1.9000000e+01
173.5346 -42.1303 255.256436 70.000000 180.000000 0.504537 1.950894 5.555556 8.333333	   1.9000000e+01
173.5319 -42.1214 255.256436 70.000000 180.000000 0.630674 1.950894 8.333333 11.111111	   1.9000000e+01
173.5293 -42.1125 255.256436 70.000000 180.000000 0.647701 1.950894 11.111111 13.888889	   1.9000000e+01
173.5267 -42.1036 255.256436 70.000000 180.000000 0.567785 1.950894 13.888889 16.666667	   1.9000000e+01
173.5241 -42.0947 255.256436 70.000000 180.000000 0.421668 1.950894 16.666667 19.444444	   1.9000000e+01
