Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.3320 -41.7813 218.290163 70.000000 174.475867 12.456510 2.006960 0.000000 3.125000	   1.0000000e+00
174.3215 -41.7747 218.290163 70.000000 167.816752 6.206018 2.006960 3.125000 6.250000	   1.0000000e+00
174.3110 -41.7681 218.290163 70.000000 140.810885 2.419996 2.006960 6.250000 9.375000	   1.0000000e+00
174.3006 -41.7615 218.290163 70.000000 97.769464 1.765126 2.006960 9.375000 12.500000	   1.0000000e+00
174.2901 -41.7549 218.290163 70.000000 90.000000 1.716951 2.006960 12.500000 15.625000	   1.0000000e+00
174.2797 -41.7484 218.290163 70.000000 90.000000 1.379984 2.006960 15.625000 18.750000	   1.0000000e+00
174.2692 -41.7418 218.290163 70.000000 90.000000 0.877378 2.006960 18.750000 21.875000	   1.0000000e+00
174.2588 -41.7352 218.290163 70.000000 90.000000 0.388672 2.006960 21.875000 25.000000	   1.0000000e+00
174.3164 -41.7951 218.290163 70.000000 171.543856 12.849955 2.006960 0.000000 3.125000	   1.0000000e+00
174.3060 -41.7886 218.290163 70.000000 165.472062 7.459166 2.006960 3.125000 6.250000	   1.0000000e+00
174.2955 -41.7820 218.290163 70.000000 147.885610 3.754137 2.006960 6.250000 9.375000	   1.0000000e+00
174.2850 -41.7754 218.290163 70.000000 114.740692 2.319827 2.006960 9.375000 12.500000	   1.0000000e+00
174.2746 -41.7688 218.290163 70.000000 93.856357 1.976275 2.006960 12.500000 15.625000	   1.0000000e+00
174.2641 -41.7622 218.290163 70.000000 90.000000 1.546374 2.006960 15.625000 18.750000	   1.0000000e+00
174.2537 -41.7556 218.290163 70.000000 90.000000 0.973433 2.006960 18.750000 21.875000	   1.0000000e+00
174.2432 -41.7490 218.290163 70.000000 90.000000 0.431542 2.006960 21.875000 25.000000	   1.0000000e+00
174.3009 -41.8090 218.290163 70.000000 168.874987 13.055359 2.006960 0.000000 3.125000	   1.0000000e+00
174.2904 -41.8024 218.290163 70.000000 165.100160 8.737744 2.006960 3.125000 6.250000	   1.0000000e+00
174.2800 -41.7958 218.290163 70.000000 154.839435 5.178932 2.006960 6.250000 9.375000	   1.0000000e+00
174.2695 -41.7892 218.290163 70.000000 132.032670 2.975511 2.006960 9.375000 12.500000	   1.0000000e+00
174.2590 -41.7826 218.290163 70.000000 103.872906 2.071715 2.006960 12.500000 15.625000	   1.0000000e+00
174.2486 -41.7760 218.290163 70.000000 90.000000 1.550081 2.006960 15.625000 18.750000	   1.0000000e+00
174.2381 -41.7694 218.290163 70.000000 90.000000 0.962888 2.006960 18.750000 21.875000	   1.0000000e+00
174.2277 -41.7628 218.290163 70.000000 90.000000 0.422171 2.006960 21.875000 25.000000	   1.0000000e+00
174.2853 -41.8228 218.290163 70.000000 165.919601 12.741821 2.006960 0.000000 3.125000	   1.0000000e+00
174.2749 -41.8162 218.290163 70.000000 164.642445 9.319555 2.006960 3.125000 6.250000	   1.0000000e+00
174.2644 -41.8096 218.290163 70.000000 159.185516 6.138349 2.006960 6.250000 9.375000	   1.0000000e+00
174.2539 -41.8030 218.290163 70.000000 144.402625 3.576432 2.006960 9.375000 12.500000	   1.0000000e+00
174.2435 -41.7964 218.290163 70.000000 117.253612 2.080482 2.006960 12.500000 15.625000	   1.0000000e+00
174.2330 -41.7898 218.290163 70.000000 92.440987 1.400622 2.006960 15.625000 18.750000	   1.0000000e+00
174.2226 -41.7832 218.290163 70.000000 90.000000 0.850346 2.006960 18.750000 21.875000	   1.0000000e+00
174.2121 -41.7766 218.290163 70.000000 90.000000 0.362697 2.006960 21.875000 25.000000	   1.0000000e+00
174.2698 -41.8366 218.290163 70.000000 161.674654 11.911981 2.006960 0.000000 3.125000	   1.0000000e+00
174.2593 -41.8300 218.290163 70.000000 162.656842 9.069063 2.006960 3.125000 6.250000	   1.0000000e+00
174.2488 -41.8234 218.290163 70.000000 160.929726 6.432622 2.006960 6.250000 9.375000	   1.0000000e+00
174.2384 -41.8168 218.290163 70.000000 152.244314 3.953014 2.006960 9.375000 12.500000	   1.0000000e+00
174.2279 -41.8102 218.290163 70.000000 131.283661 2.080349 2.006960 12.500000 15.625000	   1.0000000e+00
174.2175 -41.8036 218.290163 70.000000 99.268304 1.157795 2.006960 15.625000 18.750000	   1.0000000e+00
174.2070 -41.7970 218.290163 70.000000 90.000000 0.665003 2.006960 18.750000 21.875000	   1.0000000e+00
174.1965 -41.7904 218.290163 70.000000 90.000000 0.267282 2.006960 21.875000 25.000000	   1.0000000e+00
174.2542 -41.8504 218.290163 70.000000 155.609526 10.958806 2.006960 0.000000 3.125000	   1.0000000e+00
174.2437 -41.8438 218.290163 70.000000 158.766287 8.491829 2.006960 3.125000 6.250000	   1.0000000e+00
174.2333 -41.8372 218.290163 70.000000 160.614906 6.360235 2.006960 6.250000 9.375000	   1.0000000e+00
174.2228 -41.8306 218.290163 70.000000 157.134939 4.157348 2.006960 9.375000 12.500000	   1.0000000e+00
174.2123 -41.8240 218.290163 70.000000 144.087590 2.130464 2.006960 12.500000 15.625000	   1.0000000e+00
174.2019 -41.8174 218.290163 70.000000 112.121814 0.916208 2.006960 15.625000 18.750000	   1.0000000e+00
174.1914 -41.8108 218.290163 70.000000 90.000000 0.451268 2.006960 18.750000 21.875000	   1.0000000e+00
174.1810 -41.8042 218.290163 70.000000 90.000000 0.158409 2.006960 21.875000 25.000000	   1.0000000e+00
174.2386 -41.8642 218.290163 70.000000 148.550466 10.299059 2.006960 0.000000 3.125000	   1.0000000e+00
